muscle_group;exercise_name;tutorial
Руки;Французский жим с гантелями;https://youtube.com/shorts/SKQN8P2GYMc?si=BIyOHD8CdcAktnnM
Руки;Разгибание рук на верхнем блоке;https://youtube.com/shorts/iZ8U8thPpn0?si=dsXrKJ-ofZ8CvHL5
Руки;Отжимания на брусьях (с акцентом на трицепс);https://youtube.com/shorts/hp8kqtxQTNU?si=AOc_pyR8JRT3mIAq
Руки;Разгибание рук с гантелью из-за головы;https://youtube.com/shorts/hR3ZfO0woyc?si=xBA196Zx-HjEgs2i
Руки;Отжимания узким хватом от пола;https://youtube.com/shorts/eJ7mZU3qKM8?si=o0heTCE6kJN3tWuW
Руки;Разгибания из-за головы на верхнем блоке;https://youtube.com/shorts/s_ybYW-g7QY?si=W3wi2q81DiJy3ys-
Пресс;Скручивания на полу;https://youtube.com/shorts/mQs5hKfaE70?si=tGpZBENPIxJ3d6Hk
Пресс;Скручивания на наклонной скамье;https://youtube.com/shorts/dY-xnecb480?si=QhqDHgiwMTVTUYHP
Пресс;Обратные скручивания (подъем ног);https://youtu.be/5XYQiwoum00?si=QoFQEvhbbEsIbI8J
Пресс;Скручивания с поворотом корпуса;https://youtu.be/tabwzo9o-3A?si=klOufoJT8di9JAA5
Пресс;Скручивания на фитболе;https://youtu.be/SEtKQOXYTg8?si=T5u9arN-DyEoAAOc
Пресс;Боковые скручивания;https://youtu.be/lndhmQbgsPQ?si=IfT7WsO_C9E8z4ez
Пресс;Подъем ног в висе;https://youtu.be/CNj1xF2ona0?si=y4kKs_DEju8cddU9
Пресс;Подъем коленей к груди в висе;https://youtu.be/eJv8lDUllmQ?si=GDXB6GY95ZxT5aWl
Пресс;"V-образные" подъемы;https://youtu.be/rbbfFrKXrxw?si=It5p8FvXcYDC3ZeO
Пресс;Планка классическая;https://youtu.be/0JtBS11DGDk?si=RAkNDDn0976uySZ3
Пресс;Планка боковая;https://youtu.be/q4hzrrvIFtk?si=94fgxlvB8PmbQSJy
Пресс;Планка с поднятием руки/ноги;https://youtu.be/5IuYbkiH2rg?si=h9DsKlQrED3MbcOw
